frame_number,timestamp_seconds,objects_detected,active_tracks,processing_time_ms,fps,contour_count_raw,contour_count_filtered,inference_time_ms,class_counts,roi_objects,roi_class_counts,entered,exited,circle_count,rectangle_count,triangle_count,other_count,active_vehicles,vehicle_class_counts,direction_a,direction_b,total_crossings,line_orientation
133,5.28,18,18,35.3762999875471,28.26751244058911,,,31.59369999775663,"{""car"": 16, ""truck"": 2}",18,"{""car"": 16, ""truck"": 2}",0,2,0,0,0,0,18,"{""car"": 16, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
134,5.32,18,18,36.94479999830946,27.067408675801694,,,33.07269996730611,"{""car"": 16, ""truck"": 2}",18,"{""car"": 16, ""truck"": 2}",0,2,0,0,0,0,18,"{""car"": 16, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
135,5.36,19,19,36.978699965402484,27.042594816356623,,,33.10490003786981,"{""car"": 17, ""truck"": 2}",19,"{""car"": 17, ""truck"": 2}",0,2,0,0,0,0,19,"{""car"": 17, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
136,5.4,19,19,36.67000000132248,27.270248158274768,,,32.63090003747493,"{""car"": 17, ""truck"": 2}",19,"{""car"": 17, ""truck"": 2}",0,2,0,0,0,0,19,"{""car"": 17, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
137,5.44,20,20,37.147299968637526,26.919856916768467,,,33.02750003058463,"{""car"": 18, ""truck"": 2}",20,"{""car"": 18, ""truck"": 2}",0,2,0,0,0,0,20,"{""car"": 18, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
138,5.48,22,22,33.56100001838058,29.796489957162276,,,30.156299995724112,"{""car"": 20, ""truck"": 2}",22,"{""car"": 20, ""truck"": 2}",0,2,0,0,0,0,22,"{""car"": 20, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
139,5.52,21,21,37.44440001901239,26.7062631392745,,,32.87809999892488,"{""car"": 19, ""truck"": 2}",21,"{""car"": 19, ""truck"": 2}",0,2,0,0,0,0,21,"{""car"": 19, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
140,5.56,21,21,37.796400021761656,26.45754620610005,,,33.58629997819662,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",0,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
141,5.6,21,21,36.84339998289943,27.141903311424628,,,32.831499993335456,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",0,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
142,5.64,22,22,36.630599992349744,27.299580138159047,,,32.45129995048046,"{""car"": 18, ""truck"": 4}",22,"{""car"": 18, ""truck"": 4}",0,2,0,0,0,0,22,"{""car"": 18, ""truck"": 4, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",0,2,2,horizontal
